piece,passage_id,cohort,method,title_similarity
116,cmu6rkgs70039rs7g61o6jx28,catalogue,title,1.0
117,cmu1ov2eo000004l9br0hguzm,workbook,position,1.0
118,cmu1ov2na000104l9reern2dp,workbook,position,1.0
119,cmu1ov2ry000204l99m7ppj6i,workbook,position,1.0
120,cmu1ov2wy000304l93tjbjegc,workbook,position,0.9959
121,cmu1ov2zh000404l96466re6r,workbook,position,1.0
122,cmu1ov320000504l9w8ssk3zh,workbook,position,1.0
123,cmu1ov34v000604l92cyuueoh,workbook,position,1.0
124,cmu1ov39r000704l9wrudoj4m,workbook,position,1.0
125,cmu1ov3gr000804l9xzfnvgxj,workbook,position,1.0
126,cmu1ov3o3000904l9xz2bqyak,workbook,position,1.0
127,cmu1ov3vd000a04l94he2w0k1,workbook,position,1.0
128,cmu1ov42p000b04l9m6ailkeq,workbook,position,1.0
129,cmu1ov4aa000c04l9g0frv4gy,workbook,position,1.0
130,cmu1ov4cu000d04l9a32pmndd,workbook,position,1.0
131,cmu1ov4hk000e04l9acujc9x7,workbook,position,1.0
132,cmu1ov4k0000f04l9bq6rci9c,workbook,position,1.0
133,cmu1ov4ox000g04l9l6e0yari,workbook,position,1.0
134,cmu1ov4sd000h04l9uduo93sq,workbook,position,1.0
135,cmu1ov4wn000i04l9wkj5k3hr,workbook,position,0.877
136,cmu1ov4z3000j04l9dj1n8gul,workbook,position,0.9984
137,cmu1ov53w000k04l9db3uvljk,workbook,position,1.0
138,cmu1ov561000l04l9bhsjkfqr,workbook,position,1.0
139,cmu1ov5b8000m04l9havov2im,workbook,position,1.0
140,cmu1ov5f4000n04l9lvbmaf4j,workbook,position,1.0
141,cmu1ov5ip000o04l9dphlw96b,workbook,position,1.0
142,cmu1ov5ly000p04l96qre6ga5,workbook,position,1.0
143,cmu1ov5q8000q04l95r4fl8kb,workbook,position,1.0
144,cmu1ov5xp000r04l9un9x7i4p,workbook,position,0.5172
145,cmu1ov602000s04l93d1fvqet,workbook,position,1.0
146,cmu1ov65t000t04l9mgq9fy52,workbook,position,1.0
147,cmu1ov6jx000u04l947ry1xha,workbook,position,1.0
148,cmu1ov6mi000v04l9i4lftfcv,workbook,position,1.0
149,cmu1ov6r5000w04l90o1mxe02,workbook,position,1.0
150,cmu1ov6wm000x04l9327maq0r,workbook,position,0.9935
151,cmu1ov7ze000004ld7yp3cue9,workbook,position,1.0
152,cmu1ov83n000104ld99uhx0b7,workbook,position,1.0
153,cmu1ov88j000204ldr1qsgtbq,workbook,position,1.0
154,cmu1ov8ej000304ldnahomaag,workbook,position,1.0
155,cmu1ov8pz000404ldlmf1u1w6,workbook,position,0.996
156,cmu1ov8xu000504ldxek4bung,workbook,position,1.0
157,cmu1ov94k000604ldv6lro5qh,workbook,position,1.0
158,cmu1ov9b2000704ldd9frtz1z,workbook,position,1.0
159,cmu1ov9df000804ld0as3s7uz,workbook,position,1.0
160,cmu1ov9hf000904ldnapqw150,workbook,position,1.0
161,cmu1ov9jl000a04lddqtkix8u,workbook,position,1.0
