page_id,livre,folio,family,provenance,stratum
book-23-p0501,23,501,B,,B
book-23-p0545,23,545,B,,B
book-23-p0555,23,555,B,,B
book-23-p0603,23,603,B,,B
book-23-p0666,23,666,B,,B
book-23-p0851,23,851,B,,B
book-24-p0062,24,62,B,,B
book-24-p0109,24,109,B,,B
book-24-p0112,24,112,B,,B
book-24-p0200,24,200,B,,B
book-24-p0243,24,243,B,,B
book-24-p0302,24,302,B,,B
book-24-p0317,24,317,B,,B
book-24-p0325,24,325,B,,B
book-24-p0392,24,392,B,,B
book-24-p0404,24,404,B,,B
book-24-p0409,24,409,B,,B
book-24-p0434,24,434,B,,B
book-24-p0436,24,436,B,,B
book-24-p0444,24,444,B,,B
book-24-p0456,24,456,B,,B
book-24-p0471,24,471,B,,B
book-24-p0480,24,480,B,,B
book-24-p0481,24,481,B,,B
book-24-p0506,24,506,B,,B
book-24-p0562,24,562,B,,B
book-24-p0734,24,734,B,,B
book-24-p0752,24,752,B,,B
book-24-p0880,24,880,B,,B
book-24-p0888,24,888,B,,B
